ID,Title,PublicationDate,Rating
41772,Рак простаты: как выявить болезнь вовремя?,1670321280,0.5
41241,Go по работам: преподаватель по танцам про то, что мешает плохим танцорам, терапевтические танцы и саморазвитие,1670320030,0.5
41968,Жизнь, творчество и феминизм: рецензия на фильм «Эмили»,1670251901,0.5
41852,Go по работам: клинический психолог из «Центра СПИД» про реакции людей на диагноз, рискованное поведение и стигму ВИЧ-инфекции,1669901151,0.98
41840,Шпионаж и вера: рецензия на фильм «Заговор в Каире»,1669721715,0.5
41722,В Питере — строить бизнес. История бренда Kookaburra — сестринства в платьях из ретро-тканей,1669115385,0.5
41687,Я — это ты: рецензия на фильм «Похожий человек»,1669028627,0.73
41677,В зоне турбулентности: рецензия на фильм «Под облаками»,1668787572,0.5
41391,Go по работам: рапирист Дмитрий Ригин про странные традиции спортсменов, локальные шутки и благородство в спорте,1668686951,0.5
41565,«Каждый из проектов я переживала сама»: Татьяна Черногузова о бренде Your Yool и татарскости,1668603045,0.95
41570,Государство без государя: рецензия на фильм «Голиаф»,1668441967,0.5
41508,Go по работам: «скромный стендап-лорд» Андрей Бебуришвили про нелюбовь к вниманию, претензии от аудитории и «химию» на концертах,1668166426,0.73
41459,Музыкант ПАПА: «Лучше не только быть, но и попробовать помочь друг другу»,1668058667,0.73
41461,Стать птицей в море: рецензия на фильм «Велга»,1667998498,0.73
41418,Новые страдания Иова: рецензия на фильм «Плотник»,1667835979,0.73
41319,В Питере — строить бизнес. История бренда украшений Murmureska,1667299457,0.98
41060,Go по работам: учитель начальных классов про режим дня, трудности с родителями и школьную форму,1666776588,0.73
40807,Памятка от Фонда «Не напрасно» и KudaGo: как защитить себя и своих близких от рака молочной железы,1665735505,0.62
40951,Игры с разумом: рецензия на фильм «Решение уйти»,1665565680,0.5
40736,Go по работам: инженер Александр Задачин о секретах проектирования, сходстве с Лапенко и гибели «Титаника»,1665481618,0.99
40840,Между любовью и одержимостью: рецензия на фильм «Голодные сердца»,1664974785,0.5
40711,Go по работам: писатель Андрей Швед про авторов-маньяков и сходство творчества с терапией,1664889492,0.5
40697,Сказка об удалом гонце: рецензия на фильм «Экспресс»,1664288489,0.5
40668,И даже смерть не объединит нас: рецензия на фильм «Брат и сестра»,1664202873,0.5
40598,Слуга народа или женщина-кошка: рецензия на фильм «Кэт»,1663764301,0.5
40251,Телесность, чувственность и политика: рецензия на фильм «Преступления будущего»,1662108621,0.5
39863,Go по работам: менеджер в KudaGo про американские горки, жажду зарабатывать и миграцию в соцсетях,1661526147,0.73
40081,В Питере — строить бизнес. 99recycle: переработать, придумать, сделать,1661345967,0.73
39645,Первая любовь в эпоху зумеров: рецензия на фильм «Страна Саша»,1658842488,0.5
39636,В Питере — строить бизнес. История тех самых ароматов SP. CANDLE,1658830657,0.73
38909,Go по работам: косметолог про заботу о себе, профессиональную косметику и любовь к работе,1656495715,0.5
39118,В Питере — строить бизнес. История независимого книжного «Все свободны»,1655990559,0.88
38874,В Питере — строить бизнес. История бренда ZORCA CERAMICA,1654591739,0.73
38768,Go по работам: книготорговец про иконостас, виммельбух и странные запросы покупателей,1654516097,0.5
31076,Зелено и богато: прогулка по Аптекарскому острову,1652716671,0.73
31055,Фрида Кало: искусство через боль,1652714081,0.73
38547,Суровый русский триллер в советской вселенной: рецензия на фильм «Казнь»,1652680136,0.5
38191,Чехов в контексте японского спокойствия и философии: рецензия на фильм «Сядь за руль моей машины»,1649861254,0.73
37635,Сюрреализм российской глубинки: рецензия на фильм «Мама, я дома»,1646052015,0.73
37475,Москва глазами Стёпы Марсель: о секретных местах, вдохновении и первых воспоминаниях о столице,1645777508,0.5
37357,Смута и путаница: рецензия на фильм «Этерна: часть первая»,1644229130,0.5
